Spieler_ID;Vereins_ID;Trikot_Nr;Spieler_Name;Land;Spiele;Tore;Vorlagen;
346;12;9;Aron Johannsson;Vereinigte Staaten;11;1;0;
347;12;10;Max Kruse;Deutschland;24;6;0;
348;12;11;Milot Rashica;Unbekannt;4;1;0;
349;12;19;Yuning Zhang;China;0;0;0;
350;13;23;Michael Esser;Deutschland;2;0;0;
351;13;30;Samuel Radlinger;Österreich;0;0;0;
352;13;30;Marlon Sundermann;Deutschland;0;0;0;
353;13;1;Philipp Tschauner;Deutschland;27;0;0;
354;13;3;Miiko Albornoz;Chile;5;0;0;
355;13;31;Waldemar Anton;Deutschland;26;1;0;
356;13;33;Fynn Arkenberg;Deutschland;0;0;0;
357;13;2;Josip Elez;Kroatien;7;0;0;
358;13;15;Timo Hübers;Deutschland;0;0;0;
359;13;19;Florian Hübner;Deutschland;9;0;0;
360;13;4;Julian Korb;Deutschland;25;1;0;
361;13;22;Matthias Ostrzolek;Deutschland;26;0;0;
362;13;21;Lars Ritzka;Deutschland;0;0;0;
363;13;0;Lars Ritzka;Deutschland;0;0;0;
364;13;25;Oliver Sorg;Deutschland;19;0;0;
365;13;5;Felipe;Brasilien;6;0;0;
366;13;6;Marvin Bakalorz;Deutschland;24;0;0;
367;13;18;Iver Fossum;Norwegen;15;1;0;
368;13;10;Sebastian Maier;Deutschland;7;0;0;
369;13;7;Edgar Prib;Deutschland;0;0;0;
370;13;20;Salif Sané;Senegal;27;3;0;
371;13;8;Manuel Schmiedebach;Deutschland;6;0;0;
372;13;27;Pirmin Schwegler;Schweiz;25;0;0;
373;13;13;Ihlas Bebou;Togo;25;5;0;
374;13;35;Charlison Benschop;Niederlande;7;1;0;
375;13;9;Jonathas;Brasilien;12;3;0;
376;13;29;Mete Kaan Demir;Türkei;0;0;0;
377;13;16;Yousef Emghames;Deutschland;0;0;0;
378;13;24;Niclas Füllkrug;Deutschland;29;11;0;
379;13;14;Martin Harnik;Österreich;25;7;0;
380;13;26;Kenan Karaman;Türkei;19;0;0;
381;13;11;Felix Klaus;Deutschland;27;4;0;
382;13;40;Linton Maina;Deutschland;1;0;0;
383;13;0;Linton Maina;Deutschland;1;0;0;
384;13;37;Noah Joel Sarenren Bazee;Deutschland;4;0;0;
385;14;44;Rafal Gikiewicz;Polen;2;0;0;
386;14;21;Patric Klandt;Deutschland;0;0;0;
387;14;1;Alexander Schwolow;Deutschland;27;0;0;
388;14;26;Gaetan Bussmann;Frankreich;0;0;0;
389;14;5;Manuel Gulde;Deutschland;11;1;0;
390;14;30;Christian Günter;Deutschland;28;1;0;
391;14;2;Aleksandar Ignjovski;Serbien;0;0;0;
392;14;14;Patrick Kammerbauer;Deutschland;0;0;0;
393;14;20;Marc Kempf;Deutschland;8;0;0;
394;14;25;Robin Koch;Deutschland;20;2;0;
395;14;17;Lukas Kübler;Deutschland;11;0;0;
396;14;3;Philipp Lienhart;Österreich;11;0;0;
397;14;24;Georg Niedermeier;Deutschland;0;0;0;
398;14;52;Chima Okoroji;England;0;0;0;
399;14;4;Caglar Soyuncu;Türkei;22;1;0;
400;14;15;Pascal Stenzel;Deutschland;22;1;0;
401;14;6;Amir Abrashi;Albanien;12;0;0;
402;14;8;Mike Frantz;Deutschland;11;0;0;
403;14;27;Nicolas Höfler;Deutschland;21;0;0;
404;14;32;Bartosz Kapustka;Polen;6;1;0;
405;14;38;Florian Kath;Deutschland;21;1;0;
406;14;28;Jonas Meffert;Deutschland;0;0;0;
407;14;23;Julian Schuster;Deutschland;13;0;0;
408;14;22;Vincent Sierro;Schweiz;3;0;0;
409;14;33;Caleb Stanko;Vereinigte Staaten;6;0;0;
410;14;40;Mohamed Dräger;Tunesien;2;0;0;
411;14;31;Karim Guedé;Slowakei;2;0;0;
412;14;19;Janik Haberer;Deutschland;27;3;0;
413;14;9;Lucas Höler;Deutschland;10;0;0;
414;14;34;Tim Kleindienst;Deutschland;16;0;0;
415;14;7;Florian Niederlechner;Deutschland;10;2;0;
416;14;18;Nils Petersen;Deutschland;26;13;0;
417;14;16;Yoric Ravet;Frankreich;10;0;0;
418;14;13;Marco Terrazzino;Deutschland;21;0;0;
419;15;1;Koen Casteels;Belgien;28;0;0;
420;15;20;Max Grün;Deutschland;0;0;0;
421;15;36;Phillip Menzel;Deutschland;0;0;0;
